ID, ParentID, Kind, What, Where, Start, End
16362, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000097750, 0.0000097800
16372, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000097800, 0.0000097850
16378, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000097850, 0.0000097900
16384, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000097900, 0.0000097950
16390, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000097950, 0.0000098000
16404, 16397@GPU[1].SA[0].L1ICache, cache_transaction, read, GPU[1].SA[0].L1ICache.Local, 0.0000097970, 0.0000098010
16397@GPU[1].SA[0].L1ICache, 16397_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1ICache, 0.0000097970, 0.0000098020
16397_req_out, 16391@GPU[1].SA[0].L1IROB, req_out, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000097960, 0.0000098030
16391@GPU[1].SA[0].L1IROB, 16391_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1IROB, 0.0000097960, 0.0000098040
16411, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000098000, 0.0000098050
16391_req_out, 16391_fetch, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000097950, 0.0000098050
16391_fetch, 4106, fetch, fetch, GPU[1].SA[0].CU[0], 0.0000097950, 0.0000098050
16428, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000098050, 0.0000098100
16434, 4106, inst, VALU, GPU[1].SA[0].CU[0].VALU, 0.0000098100, 0.0000098150
16472@GPU[1].SA[0].L1STLB, 16472_req_out, req_in, *vm.TranslationReq, GPU[1].SA[0].L1STLB, 0.0000098300, 0.0000098300
16459, 4106, inst, Scalar, GPU[1].SA[0].CU[0].Scalar, 0.0000098260, 0.0000098300
16472_req_out, 16466@GPU[1].SA[0].L1SAddrTrans, req_out, *vm.TranslationReq, GPU[1].SA[0].L1SAddrTrans, 0.0000098290, 0.0000098310
16479, 4106, inst, Scalar, GPU[1].SA[0].CU[0].Scalar, 0.0000098300, 0.0000098340
16490, 16483@GPU[1].SA[0].L1SCache, cache_transaction, read, GPU[1].SA[0].L1SCache.Local, 0.0000098320, 0.0000098360
16483@GPU[1].SA[0].L1SCache, 16483_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1SCache, 0.0000098320, 0.0000098370
16483_req_out, 16466@GPU[1].SA[0].L1SAddrTrans, req_out, *mem.ReadReq, GPU[1].SA[0].L1SAddrTrans, 0.0000098310, 0.0000098380
16466@GPU[1].SA[0].L1SAddrTrans, 16466_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1SAddrTrans, 0.0000098290, 0.0000098380
16496, 4106, inst, Scalar, GPU[1].SA[0].CU[0].Scalar, 0.0000098340, 0.0000098380
16466_req_out, 16458@GPU[1].SA[0].L1SROB, req_out, *mem.ReadReq, GPU[1].SA[0].L1SROB, 0.0000098280, 0.0000098390
16458@GPU[1].SA[0].L1SROB, 16458_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1SROB, 0.0000098280, 0.0000098400
16458_req_out, 16454, req_out, *mem.ReadReq, GPU[1].SA[0].CU[0], 0.0000098260, 0.0000098410
16454, 4106, inst, Scalar, GPU[1].SA[0].CU[0].Scalar, 0.0000098230, 0.0000098410
16511, 4106, inst, Scalar, GPU[1].SA[0].CU[0].Scalar, 0.0000098380, 0.0000098420
16579@GPU[1].SA[0].L1VTLB[0], 16579_req_out, req_in, *vm.TranslationReq, GPU[1].SA[0].L1VTLB[0], 0.0000098880, 0.0000098880
16579_req_out, 16572@GPU[1].SA[0].L1VAddrTrans[0], req_out, *vm.TranslationReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098870, 0.0000098890
16588@GPU[1].SA[0].L1VTLB[0], 16588_req_out, req_in, *vm.TranslationReq, GPU[1].SA[0].L1VTLB[0], 0.0000098890, 0.0000098890
16588_req_out, 16582@GPU[1].SA[0].L1VAddrTrans[0], req_out, *vm.TranslationReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098880, 0.0000098900
